gens,best_fitness,avg_fitness,best_gene
216,0.00027586206896551725,0.00024879837320525663,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
217,0.00027586206896551725,0.0002496703371606019,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
218,0.00027586206896551725,0.0002506203257424699,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
219,0.00027586206896551725,0.0002510967167424906,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
220,0.00027586206896551725,0.00025173908506103613,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
221,0.00027586206896551725,0.0002524950209041539,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
222,0.00027586206896551725,0.0002533317768405246,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
223,0.00027586206896551725,0.0002541859225342313,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
224,0.00027586206896551725,0.0002543845238545233,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
225,0.00027586206896551725,0.0002550891748485399,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
226,0.00027586206896551725,0.00025579547233039177,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
227,0.00027586206896551725,0.0002565901635326065,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
228,0.00027586206896551725,0.00025698750913371384,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
229,0.00027586206896551725,0.0002577822003359286,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
230,0.00027586206896551725,0.0002585768915381433,"[9, 10, 8, 13, 2, 3, 4, 11, 5, 6, 12, 1, 0, 7]"
231,0.00029036004645760743,0.0002594814800672823,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
232,0.00029036004645760743,0.00025984374322039305,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
233,0.00029036004645760743,0.00025984374322039305,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
234,0.00029036004645760743,0.00026056021647680367,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
235,0.00029036004645760743,0.00026126629596051626,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
236,0.00029036004645760743,0.00026211735521914975,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
237,0.00029036004645760743,0.000262657069687893,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
238,0.00029036004645760743,0.00026336083332953783,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
239,0.00029036004645760743,0.0002640255846579214,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
240,0.00029036004645760743,0.0002649960250843288,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
241,0.00029036004645760743,0.0002653191854719869,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
242,0.00029036004645760743,0.00026577090317016515,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
243,0.00029036004645760743,0.00026584402751534894,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
244,0.00029036004645760743,0.00026647607104414634,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
245,0.00029036004645760743,0.00026701972085258093,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
246,0.00029036004645760743,0.00026707712192732447,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
247,0.00029036004645760743,0.0002675381234666441,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
248,0.00029036004645760743,0.0002683097652794622,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
249,0.00029036004645760743,0.00026833006957314347,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
250,0.00029036004645760743,0.000268913266903716,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
251,0.00029036004645760743,0.00026958920034914644,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
252,0.00029036004645760743,0.0002697786111605958,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
253,0.00029036004645760743,0.0002698993234293066,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
254,0.00029036004645760743,0.0002701320537426041,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
255,0.00029036004645760743,0.0002708560165670438,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
256,0.00029036004645760743,0.000271426588026774,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
257,0.00029036004645760743,0.000271534098607776,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
258,0.00029036004645760743,0.00027164160918877813,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
259,0.00029036004645760743,0.00027212918609980107,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
260,0.00029036004645760743,0.00027212918609980107,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
261,0.00029036004645760743,0.00027217829951734797,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
262,0.00029036004645760743,0.000272534410248378,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
263,0.00029036004645760743,0.0002731400507093897,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
264,0.00029036004645760743,0.0002737456911704014,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
265,0.00029036004645760743,0.0002740485114009073,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
266,0.00029036004645760743,0.0002743513316314132,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
267,0.00029036004645760743,0.0002743513316314132,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
268,0.00029036004645760743,0.00027495561857682037,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
269,0.00029036004645760743,0.00027495561857682037,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
270,0.00029036004645760743,0.00027531141315304225,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
271,0.00029036004645760743,0.00027559652710282387,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
272,0.00029036004645760743,0.00027561239253744987,"[9, 10, 8, 12, 6, 5, 11, 4, 3, 2, 13, 1, 0, 7]"
273,0.00029231218941829873,0.0002759170279168384,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
274,0.00029231218941829873,0.0002759170279168384,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
275,0.00029231218941829873,0.0002765067772460086,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
276,0.00029231218941829873,0.00027681141262539714,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
277,0.00029231218941829873,0.0002773816405249604,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
278,0.00029231218941829873,0.00027797138985413054,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
279,0.00029231218941829873,0.00027853079591054567,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
280,0.00029231218941829873,0.00027870297389854317,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
281,0.00029231218941829873,0.00027899174384330566,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
282,0.00029231218941829873,0.00027899174384330566,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
283,0.00029231218941829873,0.0002795260736941557,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
284,0.00029231218941829873,0.0002797932386195807,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
285,0.00029231218941829873,0.0002803387357340831,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
286,0.00029231218941829873,0.00028060172357653084,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
287,0.00029231218941829873,0.00028060172357653084,"[9, 10, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
288,0.0002957704821058858,0.0002809097198655283,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
289,0.0002957704821058858,0.0002811586879966825,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
290,0.0002957704821058858,0.00028166055105272736,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
291,0.0002957704821058858,0.00028166055105272736,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
292,0.0002957704821058858,0.00028217020115918956,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
293,0.0002957704821058858,0.00028217020115918956,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
294,0.0002957704821058858,0.0002825860888589217,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
295,0.0002957704821058858,0.00028302769882137597,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
296,0.0002957704821058858,0.00028341520442734747,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
297,0.0002957704821058858,0.0002838372929601948,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
298,0.0002957704821058858,0.00028404080647798395,"[10, 9, 8, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7]"
